"ccf","rough_cor","lag","D","sd_D","b1","bullet1","land1","b2","bullet2","land2","signature_length","overlap","matches","mismatches","cms","cms2","non_cms","left_cms","right_cms","left_noncms","right_noncms","sum_peaks","H.H","D2.D","rfscore"
0.113907860545047,-0.0749673604267922,0.083204999999983,0.00122423575024632,0.00193834612809225,"Unknown 1-B/L1.dat","Unknown 1-B",1,"Unknown 1-B/L2.dat","Unknown 1-B",2,1.938225,0.967720465890183,1.59943699817664,16.6919500616131,0.533145666058881,0.533145666058881,6.87315590772303,0,0,2.94563824616701,6.87315590772303,2.46156776073911,3.83370443090267,0.00122423575024632,0.0666666666666667
0.168376054497002,-0.0834413773833445,-0.083204999999994,0.00108870858667737,0.00176218018293346,"Unknown 1-B/L3.dat","Unknown 1-B",3,"Unknown 1-B/L1.dat","Unknown 1-B",1,1.933065,0.948615281948615,3.81734547249194,13.2553721077515,1.0906701349977,0.545335067498848,2.945638246167,0,0,2.945638246167,1.4728191230835,5.06645921705398,3.61185145339445,0.00108870858667737,0.0666666666666667
0.172533893721749,-0.0624631585708316,-0.126419999999974,0.000943564912617191,0.00148870738246431,"Unknown 1-B/L4.dat","Unknown 1-B",4,"Unknown 1-B/L1.dat","Unknown 1-B",1,1.927905,0.926062228169957,3.36066675628445,15.3836908839615,2.80055563023704,1.68033337814222,10.5762874827235,0,0,2.40370170061898,10.5762874827235,3.14075084342912,3.07518481084478,0.000943564912617192,0.0366666666666667
0.387740901631112,-0.0878240241569808,0.0632099999999982,0.00100102579549935,0.00178781965930372,"Unknown 1-B/L5.dat","Unknown 1-B",5,"Unknown 1-B/L1.dat","Unknown 1-B",1,1.89501,0.992511912865895,3.19009793600664,16.3037801842837,1.06336597866888,0.531682989334439,5.09493130758865,0,0,1.52847939227659,1.52847939227659,3.610523381182,2.75710286133312,0.00100102579549935,0.116666666666667
0.213091787136558,-0.117751779813762,-0.0354749999999974,0.00118769656190333,0.00187072986781655,"Unknown 1-B/L6.dat","Unknown 1-B",6,"Unknown 1-B/L1.dat","Unknown 1-B",1,1.916295,0.97307303938068,4.29024585790169,12.5679928412713,2.14512292895085,1.07256146447542,5.52991685015937,0,0,1.0054394273017,1.50815914095256,7.00716243249086,3.76133826041111,0.00118769656190333,0.07
0.441107935004445,-0.0289203683801821,0.0677249999999862,0.000815587469752343,0.0015131645754219,"Unknown 1-B/L1.dat","Unknown 1-B",1,"Unknown 1-E/L1.dat","Unknown 1-E",1,1.938225,0.964392678868552,4.81486831335163,14.8409789109691,1.60495610445054,1.06997073630036,3.95759437625842,0,0,0.989398594064605,2.47349648516151,6.1514983161767,2.44667774376432,0.000815587469752343,0.26
0.169101044650369,-0.0394745554748394,-0.160604999999995,0.00121961851076102,0.00189826565261724,"Unknown 1-B/L1.dat","Unknown 1-B",1,"Unknown 1-E/L2.dat","Unknown 1-E",2,1.938225,0.922129783693844,0.559504726416176,14.5819221795741,0.559504726416176,0.559504726416176,10.8188454880711,0,0,10.8188454880711,3.76307669150298,0.419119770682276,3.97487362547155,0.00121961851076102,0.05
0.23113608511002,-0.296334402071845,0.0219299999999955,0.000873207870094777,0.00131913142217187,"Unknown 1-E/L3.dat","Unknown 1-E",3,"Unknown 1-B/L1.dat","Unknown 1-B",1,1.92468,0.991957104557641,1.57133878064111,13.3080480420534,0.523779593547035,0.523779593547035,7.16587202264416,0,0,1.53554400485232,1.53554400485232,1.2936843552881,2.31560727322762,0.000873207870094777,0.153333333333333
0.16859654878345,-0.118858768160188,0.00322499999999991,0.000960351245132073,0.00142724249971973,"Unknown 1-E/L4.dat","Unknown 1-E",4,"Unknown 1-B/L1.dat","Unknown 1-B",1,1.935,0.991666666666667,2.08455475213341,13.3080480420534,0.521138688033353,0.521138688033353,6.65402402102672,0.521138688033353,0,0,3.07108800970464,1.87257046016617,2.67199584212087,0.000960351245132073,0.0333333333333333
0.338887173099659,0.0576910147365096,-0.0922349999999974,0.00100914839293297,0.00176650071097258,"Unknown 1-E/L5.dat","Unknown 1-E",5,"Unknown 1-B/L1.dat","Unknown 1-B",1,1.93113,0.944555778223113,3.83759306163174,14.6631866037127,1.09645516046621,0.548227580233106,4.39895598111382,0,0,1.9550915471617,3.9101830943234,4.75652384089398,2.95074020344256,0.00100914839293297,0.103333333333333
0.286769915306738,-0.187244172694913,0.0445049999999968,0.00110064341909047,0.00186681638438625,"Unknown 1-E/L6.dat","Unknown 1-E",6,"Unknown 1-B/L1.dat","Unknown 1-B",1,1.894365,0.993530813755533,3.71923001312357,14.3034111081313,2.12527429321347,1.06263714660673,4.0866888880375,0,0,2.04334444401875,4.0866888880375,2.96990148089592,3.20052904282114,0.00110064341909047,0.13
0.300995942085686,-0.186464230022877,0.0432149999999988,0.000985065493968857,0.00171076401615698,"Unknown 1-H/L1.dat","Unknown 1-H",1,"Unknown 1-B/L1.dat","Unknown 1-B",1,1.916295,0.987882867721306,2.64120544616563,13.6798905608755,1.05648217846625,0.528241089233126,6.07995136038912,0,0,0.50666261336576,4.05330090692608,2.63658094656096,3.25835729078811,0.000985065493968857,0.11
0.255167758185276,-0.00258441391048597,-0.160604999999995,0.00105456222744164,0.00168526760599948,"Unknown 1-H/L2.dat","Unknown 1-H",2,"Unknown 1-B/L1.dat","Unknown 1-B",1,1.860825,0.905025996533795,1.78137219099873,17.9727665290332,1.18758146066582,0.593790730332909,8.04044818404115,0,0,3.78374032190172,6.14857802309029,1.33048267357832,3.09825278994805,0.00105456222744164,0.0233333333333333
